Scenario,Algorithm,Grid,Uncovered%,Win,Flagged%
"(16, 16, 10)",Abel 16x16 2000 10k,1,94.53125,0,-
"(16, 16, 10)",Abel 16x16 750 100k,1,86.71875,0,-
"(16, 16, 10)",Abel 4x4 100k 100,1,87.890625,0,-
"(16, 16, 10)",Abel 8x8 10k 1000,1,96.09375,1,-
"(16, 16, 10)",Kane + MCTS,1,96.09375,1,3.90625
"(16, 16, 10)",Abel 16x16 2000 10k,2,94.140625,0,-
"(16, 16, 10)",Abel 16x16 750 100k,2,93.359375,0,-
"(16, 16, 10)",Abel 4x4 100k 100,2,90.234375,0,-
"(16, 16, 10)",Abel 8x8 10k 1000,2,94.921875,0,-
"(16, 16, 10)",Kane + MCTS,2,96.09375,1,3.90625
"(16, 16, 10)",Abel 16x16 2000 10k,3,92.578125,0,-
"(16, 16, 10)",Abel 16x16 750 100k,3,94.53125,0,-
"(16, 16, 10)",Abel 4x4 100k 100,3,89.453125,0,-
"(16, 16, 10)",Abel 8x8 10k 1000,3,93.359375,0,-
"(16, 16, 10)",Kane + MCTS,3,96.09375,1,3.90625
"(16, 16, 10)",Abel 16x16 2000 10k,4,89.84375,0,-
"(16, 16, 10)",Abel 16x16 750 100k,4,95.703125,0,-
"(16, 16, 10)",Abel 4x4 100k 100,4,0.390625,0,-
"(16, 16, 10)",Abel 8x8 10k 1000,4,93.359375,0,-
"(16, 16, 10)",Kane + MCTS,4,96.09375,1,3.90625
"(16, 16, 10)",Abel 16x16 2000 10k,5,92.96875,0,-
"(16, 16, 10)",Abel 16x16 750 100k,5,93.75,0,-
"(16, 16, 10)",Abel 4x4 100k 100,5,95.3125,0,-
"(16, 16, 10)",Abel 8x8 10k 1000,5,93.359375,0,-
"(16, 16, 10)",Kane + MCTS,5,0.390625,0,0.0
"(16, 16, 10)",Abel 16x16 2000 10k,6,0.78125,0,-
"(16, 16, 10)",Abel 16x16 750 100k,6,95.703125,0,-
"(16, 16, 10)",Abel 4x4 100k 100,6,95.3125,0,-
"(16, 16, 10)",Abel 8x8 10k 1000,6,95.703125,0,-
"(16, 16, 10)",Kane + MCTS,6,96.09375,1,3.90625
"(16, 16, 10)",Abel 16x16 2000 10k,7,94.53125,0,-
"(16, 16, 10)",Abel 16x16 750 100k,7,94.921875,0,-
"(16, 16, 10)",Abel 4x4 100k 100,7,95.3125,0,-
"(16, 16, 10)",Abel 8x8 10k 1000,7,92.1875,0,-
"(16, 16, 10)",Kane + MCTS,7,96.09375,1,3.90625
"(16, 16, 10)",Abel 16x16 2000 10k,8,95.703125,0,-
"(16, 16, 10)",Abel 16x16 750 100k,8,92.96875,0,-
"(16, 16, 10)",Abel 4x4 100k 100,8,93.359375,0,-
"(16, 16, 10)",Abel 8x8 10k 1000,8,95.703125,0,-
"(16, 16, 10)",Kane + MCTS,8,96.09375,1,3.90625
"(16, 16, 10)",Abel 16x16 2000 10k,9,95.3125,0,-
