Scenario,Algorithm,Grid,Uncovered%,Win,Initial Uncovered%,DifferenceUncovered%
"(16, 16, 10)",Abel 16x16 2000 10k,1,94.921875,0,94.140625,0.78125
"(16, 16, 10)",Abel 16x16 750 100k,1,94.53125,0,94.140625,0.390625
"(16, 16, 10)",Abel 4x4 100k 100,1,96.09375,1,94.140625,1.953125
"(16, 16, 10)",Abel 8x8 10k 1k,1,96.09375,1,94.140625,1.953125
"(16, 16, 10)",Kane + MCTS,1,96.09375,1,94.140625,1.953125
"(16, 16, 10)",Abel 16x16 2000 10k,2,94.53125,0,93.359375,1.171875
"(16, 16, 10)",Abel 16x16 750 100k,2,93.75,0,93.359375,0.390625
"(16, 16, 10)",Abel 4x4 100k 100,2,96.09375,1,93.359375,2.734375
"(16, 16, 10)",Abel 8x8 10k 1k,2,96.09375,1,93.359375,2.734375
"(16, 16, 10)",Kane + MCTS,2,96.09375,1,93.359375,2.734375
"(16, 16, 10)",Abel 16x16 2000 10k,3,95.703125,0,95.3125,0.390625
"(16, 16, 10)",Abel 16x16 750 100k,3,95.703125,0,95.3125,0.390625
"(16, 16, 10)",Abel 4x4 100k 100,3,96.09375,1,95.3125,0.78125
"(16, 16, 10)",Abel 8x8 10k 1k,3,96.09375,1,95.3125,0.78125
"(16, 16, 10)",Kane + MCTS,3,96.09375,1,95.3125,0.78125
"(16, 16, 10)",Abel 16x16 2000 10k,4,92.1875,0,91.796875,0.390625
"(16, 16, 10)",Abel 16x16 750 100k,4,94.53125,0,91.796875,2.734375
"(16, 16, 10)",Abel 4x4 100k 100,4,96.09375,1,91.796875,4.296875
"(16, 16, 10)",Abel 8x8 10k 1k,4,96.09375,1,91.796875,4.296875
"(16, 16, 10)",Kane + MCTS,4,96.09375,1,91.796875,4.296875
"(16, 16, 10)",Abel 16x16 2000 10k,5,96.09375,1,92.96875,3.125
"(16, 16, 10)",Abel 16x16 750 100k,5,96.09375,1,92.96875,3.125
"(16, 16, 10)",Abel 4x4 100k 100,5,96.09375,1,92.96875,3.125
"(16, 16, 10)",Abel 8x8 10k 1k,5,96.09375,1,92.96875,3.125
"(16, 16, 10)",Kane + MCTS,5,96.09375,1,92.96875,3.125
"(16, 16, 10)",Abel 16x16 2000 10k,6,95.703125,0,79.296875,16.40625
"(16, 16, 10)",Abel 16x16 750 100k,6,79.6875,0,79.296875,0.390625
"(16, 16, 10)",Abel 4x4 100k 100,6,96.09375,1,79.296875,16.796875
"(16, 16, 10)",Abel 8x8 10k 1k,6,96.09375,1,79.296875,16.796875
"(16, 16, 10)",Kane + MCTS,6,96.09375,1,79.296875,16.796875
"(16, 16, 10)",Abel 16x16 2000 10k,7,95.703125,0,95.3125,0.390625
"(16, 16, 10)",Abel 16x16 750 100k,7,95.703125,0,95.3125,0.390625
"(16, 16, 10)",Abel 4x4 100k 100,7,96.09375,1,95.3125,0.78125
"(16, 16, 10)",Abel 8x8 10k 1k,7,96.09375,1,95.3125,0.78125
"(16, 16, 10)",Kane + MCTS,7,96.09375,1,95.3125,0.78125
"(16, 16, 10)",Abel 16x16 2000 10k,8,87.890625,0,87.5,0.390625
"(16, 16, 10)",Abel 16x16 750 100k,8,87.890625,0,87.5,0.390625
"(16, 16, 10)",Abel 4x4 100k 100,8,96.09375,1,87.5,8.59375
"(16, 16, 10)",Abel 8x8 10k 1k,8,96.09375,1,87.5,8.59375
"(16, 16, 10)",Kane + MCTS,8,96.09375,1,87.5,8.59375
"(16, 16, 10)",Abel 16x16 2000 10k,9,94.921875,0,94.53125,0.390625
"(16, 16, 10)",Abel 16x16 750 100k,9,94.921875,0,94.53125,0.390625
"(16, 16, 10)",Abel 4x4 100k 100,9,96.09375,1,94.53125,1.5625
"(16, 16, 10)",Abel 8x8 10k 1k,9,96.09375,1,94.53125,1.5625
